ID,Label,MinValue,MinNonnegative,MaxValue,Active,Notes
#330,Gen1MotherBirthYear,-5,7,66,TRUE,
#331,Gen1MotherAge,-5,34,110,TRUE,
#340,Gen1AlwaysLivedWithBothParents,-5,0,1,TRUE,
#500,Gen2HeightInchesTotal,-7,13,81,TRUE,
#501,Gen2HeightFeetOnly,-7,0,8,TRUE,
#502,Gen2HeightInchesRemainder,-7,0,11,TRUE,
#503,Gen2HeightInchesTotalMotherSupplement,-7,0,75,TRUE,
#504,Gen2WeightPoundsYA,-7,70,766,TRUE,
#511,Gen2PiatMathRaw,-7,0,84,TRUE,
#512,Gen2PiatMathPercentile,-7,0,99,TRUE,
#513,Gen2PiatMathStandard,-7,0,135,TRUE,
#9993,Gen1ListIncorrectGen2TwinTrips_NOTINTAGCURRENTLY,-5,1,2,TRUE,
#9994,Gen1VerifyFirstGen2TwinsTrips_NOTINTAGSETCURRENTLY,-5,0,6,TRUE,
#9995,Gen1FirstIncorrectTwinTripYoungerOrOlder_NOTUSED,-5,1,3,TRUE,
#9996,Gen1FirstIncorrectTwinTripAgeDifference_NOTUSED,-5,1,30,TRUE,
#9997,Gen1SecondIncorrectTwinTripYoungerOrOlder_NOTUSED,-5,2,2,TRUE,
#9998,Gen1SecondIncorrectTwinTripAgeDifference_NOTUSED,-5,7,7,TRUE,
#9999,NotTranslated,0,0,0,TRUE,
